구,전력소비량,인구,house,인구밀도(명/㎢),유통업체 연면적,사무실연면적,건축물총면적,행정구역 면적,총병원수,총병상수,종합병원수,종합병원병상수,병원수,병원 병상수,의원 병원수,의원 병상수,아파트 수,단독주택수,다세대주택수,연립주택수,water
종로구,1746554 ,161869 ,73947 ,6769 ,490721 ,2398975 ,18143118 ,24 ,494 ,3334 ,4 ,2945 ,2 ,233 ,189 ,113 ,15290 ,12421 ,12349 ,5459 ,10564 
중구,2460734 ,136488 ,62739 ,13704 ,2940785 ,3761916 ,20418533 ,10 ,560 ,1349 ,2 ,690 ,4 ,442 ,233 ,167 ,25823 ,6035 ,7095 ,1940 ,8780 
용산구,1401975 ,245185 ,110126 ,11213 ,651897 ,1240050 ,17478492 ,22 ,307 ,920 ,1 ,725 ,2 ,112 ,133 ,82 ,36181 ,14487 ,17107 ,3959 ,17577 
성동구,2177900 ,308979 ,135838 ,18327 ,598745 ,769531 ,19160395 ,17 ,444 ,1941 ,1 ,855 ,6 ,434 ,213 ,135 ,67058 ,10782 ,10095 ,2021 ,22693 
광진구,1633402 ,366972 ,164428 ,21507 ,822945 ,766497 ,16787732 ,17 ,552 ,2699 ,2 ,1099 ,5 ,438 ,268 ,552 ,32089 ,15786 ,35697 ,4068 ,26896 
동대문구,1428686 ,363023 ,164191 ,25537 ,771692 ,798175 ,19713848 ,14 ,607 ,5617 ,4 ,1700 ,14 ,1640 ,260 ,485 ,64081 ,18990 ,16834 ,3280 ,25230 
중랑구,1104107 ,402024 ,181579 ,21736 ,586582 ,545525 ,21454774 ,19 ,511 ,3018 ,3 ,1043 ,12 ,813 ,237 ,637 ,52162 ,18891 ,30958 ,4440 ,29435 
성북구,1444405 ,454744 ,192592 ,18505 ,329447 ,493432 ,22242324 ,25 ,528 ,3499 ,1 ,1032 ,6 ,524 ,250 ,409 ,77457 ,23156 ,28315 ,6044 ,32242 
강북구,916167 ,317695 ,144277 ,13462 ,179010 ,361498 ,13150749 ,24 ,461 ,2233 ,1 ,201 ,8 ,736 ,225 ,389 ,34590 ,18017 ,38645 ,4748 ,22581 
도봉구,882388 ,335631 ,138508 ,16245 ,159964 ,259828 ,15762513 ,21 ,369 ,2648 ,1 ,417 ,8 ,1197 ,162 ,140 ,64955 ,8835 ,27986 ,4131 ,24436 
노원구,1507251 ,537303 ,216966 ,15162 ,506793 ,264613 ,23484675 ,35 ,725 ,3489 ,3 ,1566 ,7 ,416 ,350 ,423 ,161873 ,6680 ,14684 ,3440 ,39770 
은평구,1427730 ,484546 ,207681 ,16308 ,500675 ,432498 ,20710801 ,30 ,662 ,3736 ,2 ,1004 ,10 ,804 ,320 ,353 ,57712 ,15146 ,68514 ,5914 ,34174 
서대문구,1253576 ,323171 ,140157 ,18335 ,199525 ,545593 ,17232437 ,18 ,435 ,3742 ,2 ,2661 ,5 ,255 ,208 ,273 ,50747 ,12958 ,27489 ,5477 ,22794 
마포구,2167127 ,385925 ,175023 ,16180 ,657614 ,2334542 ,24071217 ,24 ,730 ,779 ,0 ,0 ,2 ,179 ,370 ,126 ,68111 ,11854 ,34577 ,3165 ,26925 
양천구,1672962 ,462285 ,177256 ,26559 ,453681 ,538665 ,21163885 ,17 ,626 ,2622 ,3 ,1196 ,5 ,421 ,279 ,350 ,87387 ,7818 ,39730 ,4144 ,32228 
강서구,2558240 ,598273 ,262708 ,14438 ,695800 ,1455494 ,34319465 ,41 ,836 ,3976 ,4 ,974 ,17 ,1365 ,392 ,551 ,113076 ,10456 ,64018 ,4853 ,41135 
구로구,1895191 ,439371 ,176568 ,21837 ,1736000 ,542569 ,23183280 ,20 ,559 ,4675 ,2 ,1277 ,8 ,663 ,259 ,264 ,81131 ,11692 ,28622 ,7399 ,30365 
금천구,1613000 ,251820 ,110622 ,19341 ,1014854 ,463635 ,16653322 ,13 ,356 ,2161 ,1 ,242 ,6 ,627 ,158 ,268 ,30996 ,9011 ,22548 ,3913 ,17682 
영등포구,2652173 ,400986 ,174806 ,16334 ,1248636 ,2281208 ,28198648 ,25 ,756 ,5601 ,7 ,2092 ,8 ,869 ,336 ,335 ,69946 ,14378 ,14595 ,1502 ,26408 
동작구,1289443 ,408912 ,180753 ,25003 ,35219 ,476879 ,18728962 ,16 ,576 ,2747 ,2 ,1536 ,5 ,310 ,259 ,285 ,61596 ,14661 ,32557 ,5161 ,30240 
관악구,1710701 ,517334 ,268559 ,17496 ,318912 ,841581 ,21454505 ,30 ,693 ,2353 ,1 ,287 ,10 ,786 ,318 ,476 ,54355 ,21510 ,42253 ,6438 ,35177 
서초구,3279210 ,435107 ,173199 ,9261 ,1555646 ,3278589 ,35417904 ,47 ,1226 ,3613 ,1 ,1356 ,12 ,975 ,626 ,300 ,92106 ,6331 ,26531 ,5489 ,30872 
강남구,4586659 ,550209 ,232981 ,13929 ,1815204 ,6043584 ,50877173 ,40 ,2643 ,8700 ,4 ,3125 ,33 ,2071 ,1636 ,1461 ,122664 ,7196 ,32872 ,5919 ,41214 
송파구,2837244 ,682741 ,278711 ,20156 ,5866062 ,1800338 ,40398889 ,34 ,1165 ,6687 ,2 ,3145 ,16 ,1208 ,558 ,653 ,125800 ,8255 ,68133 ,4899 ,47962 
강동구,1520384 ,440390 ,183390 ,17909 ,424984 ,996147 ,25046929 ,25 ,789 ,5890 ,3 ,2259 ,15 ,934 ,352 ,599 ,73505 ,10220 ,35001 ,3165 ,31000 
